sep=;
Producer:;Pfeiffer-Vacuum
Device:;TPG362
Product number:;PT G28 290
Serial number:;44990208
Firmware version:;010500
Filename:;FRN_20240905_141606.csv
Date: / time:;2024-09-05  14:16
Sampletime:;10s
Channel 1:;TPR/PCR
Channel 2:;PKR
Date;Time;Channel 1 [mBar];Channel 2 [mBar];
2024-09-05;14:53:36;5,0119e-04;6,7319e-05;
2024-09-05;14:53:46;5,0119e-04;6,3925e-05;
2024-09-05;14:53:56;5,0119e-04;6,3918e-05;
2024-09-05;14:54:06;5,0119e-04;6,4095e-05;
2024-09-05;14:54:16;5,0119e-04;6,4139e-05;
2024-09-05;14:54:26;5,0119e-04;5,1777e-05;
2024-09-05;14:54:36;5,0119e-04;5,1488e-05;
2024-09-05;14:54:46;5,0119e-04;5,1212e-05;
2024-09-05;14:54:56;5,0119e-04;5,0932e-05;
2024-09-05;14:55:06;5,0119e-04;5,0658e-05;
2024-09-05;14:55:16;5,0119e-04;5,0387e-05;
2024-09-05;14:55:26;5,0119e-04;5,0123e-05;
2024-09-05;14:55:36;5,0119e-04;4,9863e-05;
2024-09-05;14:55:46;5,0119e-04;4,9598e-05;
2024-09-05;14:55:56;5,0119e-04;4,9350e-05;
2024-09-05;14:56:06;5,0119e-04;4,9107e-05;
2024-09-05;14:56:16;5,0119e-04;4,8860e-05;
2024-09-05;14:56:26;5,0119e-04;4,8613e-05;
2024-09-05;14:56:36;5,0119e-04;4,8378e-05;
2024-09-05;14:56:46;5,0119e-04;4,8146e-05;
2024-09-05;14:56:56;5,0119e-04;4,7910e-05;
2024-09-05;14:57:06;5,0119e-04;4,7678e-05;
2024-09-05;14:57:16;5,0119e-04;4,7455e-05;
2024-09-05;14:57:26;5,0119e-04;4,7232e-05;
2024-09-05;14:57:36;5,0119e-04;4,7013e-05;
2024-09-05;14:57:46;5,0119e-04;4,6803e-05;
2024-09-05;14:57:56;5,0119e-04;4,6580e-05;
2024-09-05;14:58:06;5,0119e-04;4,6373e-05;
2024-09-05;14:58:16;5,0119e-04;4,6169e-05;
2024-09-05;14:58:26;5,0119e-04;4,5953e-05;
2024-09-05;14:58:36;5,0119e-04;4,5753e-05;
2024-09-05;14:58:46;5,0119e-04;4,5551e-05;
2024-09-05;14:58:56;5,0119e-04;4,5356e-05;
2024-09-05;14:59:06;5,0119e-04;4,5154e-05;
2024-09-05;14:59:16;5,0119e-04;4,4956e-05;
2024-09-05;14:59:26;5,0119e-04;4,4772e-05;
2024-09-05;14:59:36;5,0119e-04;4,4579e-05;
2024-09-05;14:59:46;5,0119e-04;4,4397e-05;
2024-09-05;14:59:56;5,0119e-04;4,4213e-05;
2024-09-05;15:00:06;5,0119e-04;4,4019e-05;
2024-09-05;15:00:16;5,0119e-04;4,3852e-05;
2024-09-05;15:00:26;5,0119e-04;4,3666e-05;
2024-09-05;15:00:36;5,0119e-04;4,3491e-05;
2024-09-05;15:00:46;5,0119e-04;4,3311e-05;
2024-09-05;15:00:56;5,0119e-04;4,3141e-05;
2024-09-05;15:01:06;5,0119e-04;4,2971e-05;
2024-09-05;15:01:16;5,0119e-04;4,2806e-05;
2024-09-05;15:01:26;5,0119e-04;4,2642e-05;
2024-09-05;15:01:36;5,0119e-04;4,2470e-05;
2024-09-05;15:01:46;5,0119e-04;4,2308e-05;
2024-09-05;15:01:56;5,0119e-04;4,2150e-05;
2024-09-05;15:02:06;5,0119e-04;4,1988e-05;
2024-09-05;15:02:16;5,0119e-04;4,1828e-05;
2024-09-05;15:02:26;5,0119e-04;4,1675e-05;
2024-09-05;15:02:36;5,0119e-04;4,1519e-05;
2024-09-05;15:02:46;5,0119e-04;4,1364e-05;
2024-09-05;15:02:56;5,0119e-04;4,1207e-05;
2024-09-05;15:03:06;5,0119e-04;4,1058e-05;
2024-09-05;15:03:16;5,0119e-04;4,0915e-05;
2024-09-05;15:03:26;5,0119e-04;4,0764e-05;
2024-09-05;15:03:36;5,0119e-04;4,0626e-05;
2024-09-05;15:03:46;5,0119e-04;4,0472e-05;
2024-09-05;15:03:56;5,0119e-04;4,0328e-05;
2024-09-05;15:04:06;5,0119e-04;4,0195e-05;
2024-09-05;15:04:16;5,0119e-04;4,0048e-05;
2024-09-05;15:04:26;5,0119e-04;3,9918e-05;
2024-09-05;15:04:36;5,0119e-04;3,9773e-05;
2024-09-05;15:04:46;5,0119e-04;3,9637e-05;
2024-09-05;15:04:56;5,0119e-04;3,9506e-05;
2024-09-05;15:05:06;5,0119e-04;3,1512e-04;
2024-09-05;15:05:16;5,0119e-04;1,8121e-04;
2024-09-05;15:05:26;5,0119e-04;1,1129e-04;
2024-09-05;15:05:36;5,0119e-04;7,8979e-05;
2024-09-05;15:05:46;5,0119e-04;7,3909e-05;
2024-09-05;15:05:56;5,0119e-04;6,4747e-05;
2024-09-05;15:06:06;5,0119e-04;5,0602e-05;
2024-09-05;15:06:16;5,0119e-04;4,9062e-05;
2024-09-05;15:06:26;5,0119e-04;4,8028e-05;
2024-09-05;15:06:36;5,0119e-04;4,7244e-05;
2024-09-05;15:06:46;5,0119e-04;4,6611e-05;
2024-09-05;15:06:56;5,0119e-04;4,6061e-05;
2024-09-05;15:07:06;5,0119e-04;4,5580e-05;
2024-09-05;15:07:16;5,0119e-04;4,5129e-05;
2024-09-05;15:07:26;5,0119e-04;4,4734e-05;
2024-09-05;15:07:36;5,0119e-04;4,4292e-05;
2024-09-05;15:07:46;5,0119e-04;4,3578e-05;
2024-09-05;15:07:56;5,0119e-04;4,3052e-05;
2024-09-05;15:08:06;5,0119e-04;4,2677e-05;
2024-09-05;15:08:16;5,0119e-04;4,2388e-05;
2024-09-05;15:08:26;5,0119e-04;4,2194e-05;
2024-09-05;15:08:36;5,0119e-04;4,2266e-05;
2024-09-05;15:08:46;5,0119e-04;4,2233e-05;
2024-09-05;15:08:56;5,0119e-04;4,2112e-05;
2024-09-05;15:09:06;5,0119e-04;4,1941e-05;
2024-09-05;15:09:16;5,0119e-04;4,1743e-05;
2024-09-05;15:09:26;5,0119e-04;4,1562e-05;
2024-09-05;15:09:36;5,0119e-04;4,1390e-05;
2024-09-05;15:09:46;5,0119e-04;4,1233e-05;
2024-09-05;15:09:56;5,0119e-04;4,1096e-05;
2024-09-05;15:10:06;5,0119e-04;4,0966e-05;
2024-09-05;15:10:16;5,0119e-04;4,0349e-05;
2024-09-05;15:10:26;5,0119e-04;3,9176e-05;
2024-09-05;15:10:36;5,0119e-04;3,8531e-05;
2024-09-05;15:10:46;5,0119e-04;3,8132e-05;
2024-09-05;15:10:56;5,0119e-04;3,7868e-05;
2024-09-05;15:11:06;5,0119e-04;3,7662e-05;
2024-09-05;15:11:16;5,0119e-04;3,7488e-05;
2024-09-05;15:11:26;5,0119e-04;3,7344e-05;
2024-09-05;15:11:36;5,0119e-04;3,7223e-05;
2024-09-05;15:11:46;5,0119e-04;3,7123e-05;
2024-09-05;15:11:56;5,0119e-04;3,7020e-05;
2024-09-05;15:12:06;5,0119e-04;3,6935e-05;
2024-09-05;15:12:16;5,0119e-04;3,6862e-05;
2024-09-05;15:12:26;5,0119e-04;3,6790e-05;
2024-09-05;15:12:36;5,0119e-04;3,6735e-05;
2024-09-05;15:12:46;5,0119e-04;3,6678e-05;
2024-09-05;15:12:56;5,0119e-04;3,6636e-05;
2024-09-05;15:13:06;5,0119e-04;3,6596e-05;
2024-09-05;15:13:16;5,0119e-04;3,6564e-05;
2024-09-05;15:13:26;5,0119e-04;3,6540e-05;
2024-09-05;15:13:36;5,0119e-04;3,6517e-05;
2024-09-05;15:13:46;5,0119e-04;3,6498e-05;
2024-09-05;15:13:56;5,0119e-04;3,6486e-05;
2024-09-05;15:14:06;5,0119e-04;3,6477e-05;
2024-09-05;15:14:16;5,0119e-04;3,6471e-05;
2024-09-05;15:14:26;5,0119e-04;3,6474e-05;
2024-09-05;15:14:36;5,0119e-04;3,6478e-05;
2024-09-05;15:14:46;5,0119e-04;3,6483e-05;
2024-09-05;15:14:56;5,0119e-04;3,6497e-05;
2024-09-05;15:15:06;5,0119e-04;3,6507e-05;
2024-09-05;15:15:16;5,0119e-04;3,6524e-05;
2024-09-05;15:15:26;5,0119e-04;3,6548e-05;
2024-09-05;15:15:36;5,0119e-04;3,6564e-05;
2024-09-05;15:15:46;5,0119e-04;3,6590e-05;
2024-09-05;15:15:56;5,0119e-04;3,6621e-05;
2024-09-05;15:16:06;5,0119e-04;3,6658e-05;
2024-09-05;15:16:16;5,0119e-04;3,6689e-05;
