sep=;
Hersteller:;Pfeiffer-Vacuum
Gerät:;TPG362
Artikelnummer:;PT G28 290
Seriennummer:;44992684
Firmware Version:;010500
Dateiname:;OIPT LA_20250319_061831.csv
Datum / Zeit:;2025-03-19  06:18
Messintervall:;10s
Sensor 1:;PKR
Sensor 2:;KEIN SENSOR
Datum;Zeit;Sensor 1 [mBar];Sensor 2 [mBar];
2025-03-19;06:53:45;6,2118e-08;0,0000e+00;
2025-03-19;06:53:55;6,1416e-08;0,0000e+00;
2025-03-19;06:54:05;6,0757e-08;0,0000e+00;
2025-03-19;06:54:15;6,0102e-08;0,0000e+00;
2025-03-19;06:54:25;5,9497e-08;0,0000e+00;
2025-03-19;06:54:35;5,9005e-08;0,0000e+00;
2025-03-19;06:54:45;5,8435e-08;0,0000e+00;
2025-03-19;06:54:55;5,7882e-08;0,0000e+00;
2025-03-19;06:55:05;5,7401e-08;0,0000e+00;
2025-03-19;06:55:15;5,6911e-08;0,0000e+00;
2025-03-19;06:55:25;5,6497e-08;0,0000e+00;
2025-03-19;06:55:35;5,6057e-08;0,0000e+00;
2025-03-19;06:55:45;5,5622e-08;0,0000e+00;
2025-03-19;06:55:55;5,5298e-08;0,0000e+00;
2025-03-19;06:56:05;5,4881e-08;0,0000e+00;
2025-03-19;06:56:15;5,4516e-08;0,0000e+00;
2025-03-19;06:56:25;5,4150e-08;0,0000e+00;
2025-03-19;06:56:35;5,3826e-08;0,0000e+00;
2025-03-19;06:56:45;5,3476e-08;0,0000e+00;
2025-03-19;06:56:55;5,3155e-08;0,0000e+00;
2025-03-19;06:57:05;5,2787e-08;0,0000e+00;
2025-03-19;06:57:15;5,2582e-08;0,0000e+00;
2025-03-19;06:57:25;5,2286e-08;0,0000e+00;
2025-03-19;06:57:35;5,1980e-08;0,0000e+00;
2025-03-19;06:57:45;5,1750e-08;0,0000e+00;
2025-03-19;06:57:55;5,1475e-08;0,0000e+00;
2025-03-19;06:58:05;5,1225e-08;0,0000e+00;
2025-03-19;06:58:15;5,0975e-08;0,0000e+00;
2025-03-19;06:58:25;5,0734e-08;0,0000e+00;
2025-03-19;06:58:35;5,0492e-08;0,0000e+00;
2025-03-19;06:58:45;5,0263e-08;0,0000e+00;
2025-03-19;06:58:55;5,0045e-08;0,0000e+00;
2025-03-19;06:59:05;4,9848e-08;0,0000e+00;
2025-03-19;06:59:15;4,9599e-08;0,0000e+00;
2025-03-19;06:59:25;4,9413e-08;0,0000e+00;
2025-03-19;06:59:35;4,9200e-08;0,0000e+00;
2025-03-19;06:59:45;4,9010e-08;0,0000e+00;
2025-03-19;06:59:55;4,8833e-08;0,0000e+00;
2025-03-19;07:00:05;4,8678e-08;0,0000e+00;
2025-03-19;07:00:15;4,8464e-08;0,0000e+00;
2025-03-19;07:00:25;4,8276e-08;0,0000e+00;
2025-03-19;07:00:35;4,8136e-08;0,0000e+00;
2025-03-19;07:00:45;4,7953e-08;0,0000e+00;
2025-03-19;07:00:55;4,7830e-08;0,0000e+00;
2025-03-19;07:01:05;4,7663e-08;0,0000e+00;
2025-03-19;07:01:15;4,7489e-08;0,0000e+00;
2025-03-19;07:01:25;4,7322e-08;0,0000e+00;
2025-03-19;07:01:35;4,7163e-08;0,0000e+00;
2025-03-19;07:01:45;4,7029e-08;0,0000e+00;
